Cycle,Week,Subject,URL,Title,EmbedUrl
2,1,English Grammar,https://ccconnected.com/content/asset/fullScreen/3538,"English Grammar - Cycle 2, Week 01 - Memory Work Audio",https://classicalconversations.widen.net/content/dph5dohihy/mp3/FD---Memory-Work---English-Grammar---C2-W01.mp3?u=zq6gep
2,1,Geography,https://ccconnected.com/content/asset/fullScreen/3535,"Geography - Cycle 2, Week 01 - Memory Work Audio",https://classicalconversations.widen.net/content/x0pxy23ja7/mp3/FD---Memory-Work---Geography---C2-W01.mp3?u=zq6gep
2,1,History,https://ccconnected.com/content/asset/fullScreen/3503,"History - Cycle 2, Week 01 - Memory Work Audio",https://classicalconversations.widen.net/content/hnhkqrbxhz/mp3/FD---Memory-Work---History---C2-W01.mp3?u=zq6gep
2,1,Latin,https://ccconnected.com/content/asset/fullScreen/6353,"Latin - Cycle 2, Weeks 01-02 - Memory Work Audio",https://classicalconversations.widen.net/content/f6upprhzum/mp3/FD---Memory-Work---Latin---C2---W01.mp3?u=zq6gep
2,1,Math,https://ccconnected.com/content/asset/fullScreen/3705,"Math - All Cycles, Week 01 - Memory Work Audio",https://classicalconversations.widen.net/content/j1acnh3pwa/mp3/FD---Memory-Work---Math---C2-W01.mp3?u=zq6gep
2,1,Science,https://ccconnected.com/content/asset/fullScreen/3527,"Science - Cycle 2, Week 01 - Memory Work Audio",https://classicalconversations.widen.net/content/hpdlwf386f/mp3/FD---Memory-Work---Science---C2-W01.mp3?u=zq6gep
2,1,Timeline,https://ccconnected.com/content/asset/fullScreen/3606,"Timeline - All Cycles, Week 01 - Memory Work Audio Narration",https://classicalconversations.widen.net/content/hkurqe0wv2/mp3/FD---Memory-Work---Timeline---C2-W01-Narration.mp3?u=zq6gep
2,2,English Grammar,https://ccconnected.com/content/asset/fullScreen/3530,"English Grammar - Cycle 2, Week 02 - Memory Work Audio",https://classicalconversations.widen.net/content/9cqerdy3rl/mp3/FD---Memory-Work---English-Grammar---C2-W02.mp3?u=zq6gep
2,2,Geography,https://ccconnected.com/content/asset/fullScreen/3553,"Geography - Cycle 2, Week 02 - Memory Work Audio",https://classicalconversations.widen.net/content/fb3y9cre4h/mp3/FD---Memory-Work---Geography---C2-W02.mp3?u=zq6gep
2,2,History,https://ccconnected.com/content/asset/fullScreen/3505,"History - Cycle 2, Week 02 - Memory Work Audio",https://classicalconversations.widen.net/content/ony0mwx2nn/mp3/FD---Memory-Work---History---C2-W02.mp3?u=zq6gep
2,2,Latin,https://ccconnected.com/content/asset/fullScreen/10934,"Latin - Cycle 2, Weeks 01-02 - Memory Work Audio",https://classicalconversations.widen.net/content/zqqpdp7qie/mp3/FD---Memory-Work---Latin---C2---W02.mp3?u=zq6gep
2,2,Math,https://ccconnected.com/content/asset/fullScreen/3707,"Math - All Cycles, Week 02 - Memory Work Audio",https://classicalconversations.widen.net/content/c7ix7sfjbo/mp3/FD---Memory-Work---Math---C2-W02.mp3?u=zq6gep
2,2,Science,https://ccconnected.com/content/asset/fullScreen/3577,"Science - Cycle 2, Week 02 - Memory Work Audio",https://classicalconversations.widen.net/content/7kdclmhds4/mp3/FD---Memory-Work---Science---C2-W02.mp3?u=zq6gep
2,2,Timeline,https://ccconnected.com/content/asset/fullScreen/3603,"Timeline - All Cycles, Week 02 - Memory Work Audio Narration",https://classicalconversations.widen.net/content/u1vnyvvncl/mp3/FD---Memory-Work---Timeline---C2-W02-Narration.mp3?u=zq6gep
2,3,English Grammar,https://ccconnected.com/content/asset/fullScreen/3532,"English Grammar - Cycle 2, Week 03 - Memory Work Audio",https://classicalconversations.widen.net/content/feuhl3estz/mp3/FD---Memory-Work---English-Grammar---C2-W03.mp3?u=zq6gep
2,3,Geography,https://ccconnected.com/content/asset/fullScreen/3554,"Geography - Cycle 2, Week 03 - Memory Work Audio",https://classicalconversations.widen.net/content/ullva7sqsy/mp3/FD---Memory-Work---Geography---C2-W03.mp3?u=zq6gep
2,3,History,https://ccconnected.com/content/asset/fullScreen/3507,"History - Cycle 2, Week 03 - Memory Work Audio",https://classicalconversations.widen.net/content/zwjurqlqvn/mp3/FD---Memory-Work---History---C2-W03.mp3?u=zq6gep
2,3,Latin,https://ccconnected.com/content/asset/fullScreen/6352,"Latin - Cycle 2, Weeks 03-04 - Memory Work Audio",https://classicalconversations.widen.net/content/p6eeztnwin/mp3/FD---Memory-Work---Latin---C2---W03.mp3?u=zq6gep
2,3,Math,https://ccconnected.com/content/asset/fullScreen/3706,"Math - All Cycles, Week 03 - Memory Work Audio",https://classicalconversations.widen.net/content/fbabheenvh/mp3/FD---Memory-Work---Math---C2-W03.mp3?u=zq6gep
2,3,Science,https://ccconnected.com/content/asset/fullScreen/3581,"Science - Cycle 2, Week 03 - Memory Work Audio",https://classicalconversations.widen.net/content/b3qiwuw9u3/mp3/FD---Memory-Work---Science---C2-W03.mp3?u=zq6gep
2,3,Timeline,https://ccconnected.com/content/asset/fullScreen/3601,"Timeline - All Cycles, Week 03 - Memory Work Audio Narration",https://classicalconversations.widen.net/content/hn5s5ct2fj/mp3/FD---Memory-Work---Timeline---C2-W03-Narration.mp3?u=zq6gep
2,4,English Grammar,https://ccconnected.com/content/asset/fullScreen/3531,"English Grammar - Cycle 2, Week 04 - Memory Work Audio",https://classicalconversations.widen.net/content/pgs7k949dz/mp3/FD---Memory-Work---English-Grammar---C2-W04.mp3?u=zq6gep
2,4,Geography,https://ccconnected.com/content/asset/fullScreen/3555,"Geography - Cycle 2, Week 04 - Memory Work Audio",https://classicalconversations.widen.net/content/fazydfzsps/mp3/FD---Memory-Work---Geography---C2-W04.mp3?u=zq6gep
2,4,History,https://ccconnected.com/content/asset/fullScreen/3506,"History - Cycle 2, Week 04 - Memory Work Audio",https://classicalconversations.widen.net/content/yw3xlrlstm/mp3/FD---Memory-Work---History---C2-W04.mp3?u=zq6gep
2,4,Latin,https://ccconnected.com/content/asset/fullScreen/10933,"Latin - Cycle 2, Weeks 03-04 - Memory Work Audio",https://classicalconversations.widen.net/content/0jtp80l0iv/mp3/FD---Memory-Work---Latin---C2---W04.mp3?u=zq6gep
2,4,Math,https://ccconnected.com/content/asset/fullScreen/3709,"Math - All Cycles, Week 04 - Memory Work Audio",https://classicalconversations.widen.net/content/tbhh2qpjok/mp3/FD---Memory-Work---Math---C2-W04.mp3?u=zq6gep
2,4,Science,https://ccconnected.com/content/asset/fullScreen/3576,"Science - Cycle 2, Week 04 - Memory Work Audio",https://classicalconversations.widen.net/content/hte4b4ioik/mp3/FD---Memory-Work---Science---C2-W04.mp3?u=zq6gep
2,4,Timeline,https://ccconnected.com/content/asset/fullScreen/3602,"Timeline - All Cycles, Week 04 - Memory Work Audio Narration",https://classicalconversations.widen.net/content/mfitn4bsv9/mp3/FD---Memory-Work---Timeline---C2-W04-Narration.mp3?u=zq6gep
2,5,English Grammar,https://ccconnected.com/content/asset/fullScreen/3533,"English Grammar - Cycle 2, Week 05 - Memory Work Audio",https://classicalconversations.widen.net/content/pmb1r8zvov/mp3/FD---Memory-Work---English-Grammar---C2-W05.mp3?u=zq6gep
2,5,Geography,https://ccconnected.com/content/asset/fullScreen/3556,"Geography - Cycle 2, Week 05 - Memory Work Audio",https://classicalconversations.widen.net/content/tn702xfhr9/mp3/FD---Memory-Work---Geography---C2-W05.mp3?u=zq6gep
2,5,History,https://ccconnected.com/content/asset/fullScreen/3504,"History - Cycle 2, Week 05 - Memory Work Audio",https://classicalconversations.widen.net/content/q6vrvb18fh/mp3/FD---Memory-Work---History---C2-W05.mp3?u=zq6gep
2,5,Latin,https://ccconnected.com/content/asset/fullScreen/6354,"Latin - Cycle 2, Weeks 05-06 - Memory Work Audio",https://classicalconversations.widen.net/content/vnua154gan/mp3/FD---Memory-Work---Latin---C2---W05.mp3?u=zq6gep
2,5,Math,https://ccconnected.com/content/asset/fullScreen/3708,"Math - All Cycles, Week 05 - Memory Work Audio",https://classicalconversations.widen.net/content/oe1ujrc6gy/mp3/FD---Memory-Work---Math---C2-W05.mp3?u=zq6gep
2,5,Science,https://ccconnected.com/content/asset/fullScreen/3578,"Science - Cycle 2, Week 05 - Memory Work Audio",https://classicalconversations.widen.net/content/1cmcdl8vac/mp3/FD---Memory-Work---Science---C2-W05.mp3?u=zq6gep
2,5,Timeline,https://ccconnected.com/content/asset/fullScreen/3611,"Timeline - All Cycles, Week 05 - Memory Work Audio Narration",https://classicalconversations.widen.net/content/am2wt6mbdz/mp3/FD---Memory-Work---Timeline---C2-W05-Narration.mp3?u=zq6gep
2,6,English Grammar,https://ccconnected.com/content/asset/fullScreen/3528,"English Grammar - Cycle 2, Week 06 - Memory Work Audio",https://classicalconversations.widen.net/content/psgcl2ppxk/mp3/FD---Memory-Work---English-Grammar---C2-W06.mp3?u=zq6gep
2,6,Geography,https://ccconnected.com/content/asset/fullScreen/3552,"Geography - Cycle 2, Week 06 - Memory Work Audio",https://classicalconversations.widen.net/content/hhuk8g5eo8/mp3/FD---Memory-Work---Geography---C2-W06.mp3?u=zq6gep
