Cycle,Week,Subject,URL,Title
1,1,History,,
1,1,Science,,
1,1,English Grammar,,
1,1,Latin,,
1,1,Math,,
1,1,Geography,,
1,1,Timeline,,
1,1,Fine Arts,,
1,1,Bible,,
1,2,History,,
1,2,Science,,
1,2,English Grammar,,
1,2,Latin,,
1,2,Math,,
1,2,Geography,,
1,2,Timeline,,
1,2,Fine Arts,,
1,2,Bible,,
1,3,History,,
1,3,Science,,
1,3,English Grammar,,
1,3,Latin,,
1,3,Math,,
1,3,Geography,,
1,3,Timeline,,
1,3,Fine Arts,,
1,3,Bible,,
1,4,History,,
1,4,Science,,
1,4,English Grammar,,
1,4,Latin,,
1,4,Math,,
1,4,Geography,,
1,4,Timeline,,
1,4,Fine Arts,,
1,4,Bible,,
1,5,History,,
1,5,Science,,
1,5,English Grammar,,
1,5,Latin,,
1,5,Math,,
1,5,Geography,,
1,5,Timeline,,
1,5,Fine Arts,,
1,5,Bible,,
1,6,History,,
1,6,Science,,
1,6,English Grammar,,
1,6,Latin,,
1,6,Math,,
1,6,Geography,,
1,6,Timeline,,
1,6,Fine Arts,,
1,6,Bible,,
1,7,History,,
1,7,Science,,
1,7,English Grammar,,
1,7,Latin,,
1,7,Math,,
1,7,Geography,,
1,7,Timeline,,
1,7,Fine Arts,,
1,7,Bible,,
1,8,History,,
1,8,Science,,
1,8,English Grammar,,
1,8,Latin,,
1,8,Math,,
1,8,Geography,,
1,8,Timeline,,
1,8,Fine Arts,,
1,8,Bible,,
1,9,History,,
1,9,Science,,
1,9,English Grammar,,
1,9,Latin,,
1,9,Math,,
1,9,Geography,,
1,9,Timeline,,
1,9,Fine Arts,,
1,9,Bible,,
1,10,History,,
1,10,Science,,
1,10,English Grammar,,
1,10,Latin,,
1,10,Math,,
1,10,Geography,,
1,10,Timeline,,
1,10,Fine Arts,,
1,10,Bible,,
1,11,History,,
1,11,Science,,
1,11,English Grammar,,
1,11,Latin,,
1,11,Math,,
1,11,Geography,,
1,11,Timeline,,
1,11,Fine Arts,,
1,11,Bible,,
1,12,History,,
1,12,Science,,
1,12,English Grammar,,
1,12,Latin,,
1,12,Math,,
1,12,Geography,,
1,12,Timeline,,
1,12,Fine Arts,,
1,12,Bible,,
1,13,History,,
1,13,Science,,
1,13,English Grammar,,
1,13,Latin,,
1,13,Math,,
1,13,Geography,,
1,13,Timeline,,
1,13,Fine Arts,,
1,13,Bible,,
1,14,History,,
1,14,Science,,
1,14,English Grammar,,
1,14,Latin,,
1,14,Math,,
1,14,Geography,,
1,14,Timeline,,
1,14,Fine Arts,,
1,14,Bible,,
1,15,History,,
1,15,Science,,
1,15,English Grammar,,
1,15,Latin,,
1,15,Math,,
1,15,Geography,,
1,15,Timeline,,
1,15,Fine Arts,,
1,15,Bible,,
1,16,History,,
1,16,Science,,
1,16,English Grammar,,
1,16,Latin,,
1,16,Math,,
1,16,Geography,,
1,16,Timeline,,
1,16,Fine Arts,,
1,16,Bible,,
1,17,History,,
1,17,Science,,
1,17,English Grammar,,
1,17,Latin,,
1,17,Math,,
1,17,Geography,,
1,17,Timeline,,
1,17,Fine Arts,,
1,17,Bible,,
1,18,History,,
1,18,Science,,
1,18,English Grammar,,
1,18,Latin,,
1,18,Math,,
1,18,Geography,,
1,18,Timeline,,
1,18,Fine Arts,,
1,18,Bible,,
1,19,History,,
1,19,Science,,
1,19,English Grammar,,
1,19,Latin,,
1,19,Math,,
1,19,Geography,,
1,19,Timeline,,
1,19,Fine Arts,,
1,19,Bible,,
1,20,History,,
1,20,Science,,
1,20,English Grammar,,
1,20,Latin,,
1,20,Math,,
1,20,Geography,,
1,20,Timeline,,
1,20,Fine Arts,,
1,20,Bible,,
1,21,History,,
1,21,Science,,
1,21,English Grammar,,
1,21,Latin,,
1,21,Math,,
1,21,Geography,,
1,21,Timeline,,
1,21,Fine Arts,,
1,21,Bible,,
1,22,History,,
1,22,Science,,
1,22,English Grammar,,
1,22,Latin,,
1,22,Math,,
1,22,Geography,,
1,22,Timeline,,
1,22,Fine Arts,,
1,22,Bible,,
1,23,History,,
1,23,Science,,
1,23,English Grammar,,
1,23,Latin,,
1,23,Math,,
1,23,Geography,,
1,23,Timeline,,
1,23,Fine Arts,,
1,23,Bible,,
1,24,History,,
1,24,Science,,
1,24,English Grammar,,
1,24,Latin,,
1,24,Math,,
1,24,Geography,,
1,24,Timeline,,
1,24,Fine Arts,,
1,24,Bible,,
2,1,History,https://ccconnected.com/content/asset/fullScreen/11701,"History - Cycle 2, Week 01 - Memory Work Video"
2,1,Science,https://ccconnected.com/content/asset/fullScreen/11614,"Science - Cycle 2, Week 01 - Memory Work Video"
